Month,Day,Hour,Concentration,AQI,Date,Count
3,22,23,182.31712962962962,239.66666666666666,2019-03-22 23:00:00,27
3,23,0,190.20689655172413,247.13793103448276,2019-03-23 00:00:00,29
3,23,1,190.3287037037037,248.66666666666666,2019-03-23 01:00:00,27
3,23,2,162.59913793103448,227.41379310344828,2019-03-23 02:00:00,29
3,23,3,165.33564814814815,229.85185185185185,2019-03-23 03:00:00,27
3,23,4,174.62291666666667,236.03333333333333,2019-03-23 04:00:00,30
3,23,5,211.5787037037037,269.14814814814815,2019-03-23 05:00:00,27
3,23,6,204.9073275862069,261.37931034482756,2019-03-23 06:00:00,29
3,23,7,180.84375,242.89285714285714,2019-03-23 07:00:00,28
3,23,8,177.10714285714286,239.17857142857142,2019-03-23 08:00:00,28
3,23,9,153.97321428571428,221.60714285714286,2019-03-23 09:00:00,28
3,23,10,154.21651785714286,221.42857142857142,2019-03-23 10:00:00,28
3,23,11,142.76077586206895,212.93103448275863,2019-03-23 11:00:00,29
3,23,12,126.64285714285714,199.32142857142858,2019-03-23 12:00:00,28
3,23,13,124.74553571428571,196.5,2019-03-23 13:00:00,28
3,23,14,122.53935185185185,195.74074074074073,2019-03-23 14:00:00,27
3,23,15,112.625,187.4,2019-03-23 15:00:00,30
3,23,16,122.65277777777777,196.55555555555554,2019-03-23 16:00:00,27
3,23,17,150.64008620689654,219.82758620689654,2019-03-23 17:00:00,29
3,23,18,172.9398148148148,237.37037037037038,2019-03-23 18:00:00,27
3,23,19,222.44419642857142,275.42857142857144,2019-03-23 19:00:00,28
3,23,20,232.20474137931035,278.3448275862069,2019-03-23 20:00:00,29
3,23,21,250.83258928571428,294.07142857142856,2019-03-23 21:00:00,28
3,23,22,218.60044642857142,270.7142857142857,2019-03-23 22:00:00,28
3,23,23,197.6551724137931,259.3448275862069,2019-03-23 23:00:00,29
3,24,0,169.90046296296296,240.96296296296296,2019-03-24 00:00:00,27
3,24,1,147.29910714285714,221.67857142857142,2019-03-24 01:00:00,28
3,24,2,156.93526785714286,222.03571428571428,2019-03-24 02:00:00,28
3,24,3,153.32974137931035,216.68965517241378,2019-03-24 03:00:00,29
3,24,4,103.72916666666667,175.74074074074073,2019-03-24 04:00:00,27
3,24,5,89.21041666666666,167.8,2019-03-24 05:00:00,30
3,24,6,85.75925925925925,165.7037037037037,2019-03-24 06:00:00,27
3,24,7,85.51724137931035,163.6551724137931,2019-03-24 07:00:00,29
3,24,8,80.72098214285714,158.78571428571428,2019-03-24 08:00:00,28
3,24,9,79.38616071428571,154.5,2019-03-24 09:00:00,28
3,24,10,87.32974137931035,157.41379310344828,2019-03-24 10:00:00,29
3,24,11,82.52083333333333,154.1851851851852,2019-03-24 11:00:00,27
3,24,12,74.78541666666666,142.53333333333333,2019-03-24 12:00:00,30
3,24,13,77.56481481481481,146.0,2019-03-24 13:00:00,27
3,24,14,84.60129310344827,155.86206896551724,2019-03-24 14:00:00,29
3,24,15,84.46875,156.57142857142858,2019-03-24 15:00:00,28
3,24,16,102.64583333333333,176.77777777777777,2019-03-24 16:00:00,27
3,24,17,115.73060344827586,188.20689655172413,2019-03-24 17:00:00,29
3,24,18,142.66517857142858,210.17857142857142,2019-03-24 18:00:00,28
